,,,,,,,,
Constants,,,,,,,,
Stuctural Steel density,7850,kg/m^3,,,,,,
Yield strength,250000000,Pa,,,,,,
Pi,3.1415,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Name,length (m),width (m),thickness (m),height (m),stress (Pa),volume,mass,FOS(yield)
DP 50,0.04456,0.044638,0.002864,0.022007,256301076.3,0.000008366366047,0.06567597347,0.9754153342
DP 51,0.039289,0.024208,0.003155,0.042157,198851136.8,0.000008054498502,0.06322781324,1.25722188
DP 52,0.054794,0.046931,0.002716,0.026397,297100151,0.00001080524353,0.08482116169,0.8414670916
DP 53,0.038351,0.049848,0.003689,0.024626,189933877.6,0.00001032070102,0.08101750301,1.316247544
DP 54,0.03432,0.036259,0.004859,0.040178,104594693.8,0.00001243138104,0.09758634118,2.390178613
DP 55,0.021548,0.028663,0.003832,0.046881,181949933.4,0.000005978481289,0.04693107812,1.37400435
DP 56,0.05348,0.032153,0.00333,0.044013,166706860.6,0.0000134060545,0.1052375279,1.499638342
DP 57,0.027885,0.037423,0.002539,0.033333,382464535.6,0.000004863982512,0.03818226272,0.6536553765
DP 58,0.052546,0.046068,0.004276,0.035174,128043702.5,0.00001801966937,0.1414544046,1.952458381
DP 59,0.048414,0.047721,0.002452,0.038659,342508544.1,0.00001015521098,0.07971840619,0.7299087988
DP 60,0.032613,0.021565,0.002389,0.021467,366266709.6,0.000003228098848,0.02534057596,0.6825627158
DP 61,0.042468,0.041361,0.004603,0.028841,112048740.6,0.00001344362542,0.1055324595,2.231171888
DP 62,0.049358,0.02304,0.003812,0.025576,127418824.3,0.000008943187665,0.07020402317,1.962033485
DP 63,0.05625,0.024972,0.00204,0.03114,388108876.8,0.000006387289406,0.05014022184,0.644149142
DP 64,0.040218,0.042126,0.002233,0.023976,416627028.3,0.000005838720554,0.04583395635,0.6000570846
DP 65,0.025673,0.044568,0.002658,0.039922,374243360.1,0.000005606337018,0.04400974559,0.6680145238
DP 66,0.028742,0.020653,0.003311,0.046357,209745878.7,0.000006172471805,0.04845390367,1.191918533
DP 67,0.023232,0.04755,0.004511,0.028054,163879945.9,0.000007613858179,0.0597687867,1.525506971
DP 68,0.045154,0.040694,0.003978,0.034648,151212716.5,0.00001330792525,0.1044672132,1.653300104
DP 69,0.020379,0.040823,0.00207,0.047782,682956695.2,0.000003614552242,0.0283742351,0.3660554201
DP 70,0.050673,0.025549,0.003024,0.026945,198688637.5,0.000007904309903,0.06204883274,1.25825011
DP 71,0.050383,0.030446,0.004783,0.039425,95300144.97,0.00001655932177,0.1299906759,2.623290868
DP 72,0.048172,0.029775,0.002569,0.034288,289854387.3,0.000007819331448,0.06138175186,0.8625020389
DP 73,0.04419,0.022669,0.004195,0.025384,118775042.8,0.00000866381708,0.06801096408,2.10481928
